state,CNT,total_customers
California,97,994
Texas,97,994
Florida,86,994
"New York",69,994
"District of Columbia",35,994
Colorado,33,994
Ohio,33,994
Alabama,29,994
Washington,28,994
Arizona,26,994
Illinois,25,994
Pennsylvania,25,994
Virginia,24,994
Missouri,23,994
Tennessee,23,994
Connecticut,22,994
Indiana,21,994
"North Carolina",20,994
Louisiana,20,994
Georgia,18,994
Minnesota,17,994
Nevada,17,994
Michigan,17,994
Oklahoma,16,994
Maryland,14,994
Massachusetts,14,994
Kansas,13,994
Iowa,11,994
Utah,10,994
Alaska,10,994
"West Virginia",10,994
"South Carolina",9,994
"New Jersey",9,994
Kentucky,8,994
Wisconsin,8,994
Idaho,7,994
Oregon,7,994
Nebraska,7,994
Hawaii,6,994
Delaware,6,994
Arkansas,6,994
"New Mexico",5,994
Montana,3,994
"New Hampshire",3,994
"North Dakota",2,994
Mississippi,2,994
Maine,1,994
Vermont,1,994
Wyoming,1,994
