state,quarter_number,Average_rating
Alabama,1,4.0000
Alabama,2,4.1250
Alabama,3,2.2500
Alabama,4,1.6667
Alaska,1,4.5000
Alaska,2,2.2500
Alaska,3,2.0000
Alaska,4,1.6667
Arizona,1,4.3000
Arizona,2,3.5000
Arizona,3,3.2500
Arizona,4,3.5000
Arkansas,1,4.0000
Arkansas,2,5.0000
Arkansas,3,3.0000
California,1,3.6765
California,2,2.8966
California,3,2.9286
California,4,2.8000
Colorado,1,3.5000
Colorado,2,2.2857
Colorado,3,3.0000
Colorado,4,2.5000
Connecticut,1,2.8000
Connecticut,2,3.3333
Connecticut,3,2.6000
Connecticut,4,2.1667
Delaware,1,5.0000
Delaware,2,5.0000
Delaware,3,4.0000
Delaware,4,2.6667
"District of Columbia",1,3.5714
"District of Columbia",2,4.0000
"District of Columbia",3,3.1429
"District of Columbia",4,2.5000
Florida,1,3.5714
Florida,2,3.5333
Florida,3,2.9583
Florida,4,2.1579
Georgia,1,4.4000
Georgia,2,4.2857
Georgia,3,4.0000
Georgia,4,3.3333
Hawaii,1,2.0000
Hawaii,2,3.5000
Hawaii,4,2.5000
Idaho,1,3.5000
Idaho,2,4.0000
Idaho,3,4.0000
Idaho,4,1.0000
Illinois,1,3.5556
Illinois,2,3.2500
Illinois,3,2.7143
Illinois,4,2.0000
Indiana,1,4.0000
Indiana,2,3.0000
Indiana,3,3.5000
Indiana,4,2.0000
Iowa,1,3.0000
Iowa,2,4.0000
Iowa,3,3.0000
Iowa,4,2.6667
Kansas,1,3.5000
Kansas,2,3.0000
Kansas,3,3.0000
Kansas,4,2.8571
Kentucky,1,3.1667
Kentucky,2,5.0000
Kentucky,3,1.0000
Louisiana,1,3.5000
Louisiana,2,4.5000
Louisiana,3,2.8333
Louisiana,4,4.0000
Maine,4,2.0000
Maryland,1,3.6667
Maryland,2,3.7500
Maryland,3,3.0000
Maryland,4,2.0000
Massachusetts,1,2.7143
Massachusetts,3,1.5000
Massachusetts,4,3.0000
Michigan,1,3.5000
Michigan,2,4.0000
Michigan,3,2.6667
Michigan,4,4.0000
Minnesota,1,3.2000
Minnesota,2,3.8000
Minnesota,3,3.3333
Minnesota,4,2.7500
Mississippi,1,2.0000
Missouri,1,3.1667
Missouri,2,2.7500
Missouri,3,3.0000
Missouri,4,2.1250
Montana,1,3.0000
Montana,3,4.0000
Montana,4,2.0000
Nebraska,1,3.0000
Nebraska,2,5.0000
Nebraska,3,2.3333
Nebraska,4,4.0000
Nevada,1,4.0000
Nevada,2,4.0000
Nevada,3,3.0000
Nevada,4,1.6667
"New Hampshire",1,3.0000
"New Hampshire",2,5.0000
"New Hampshire",4,1.0000
"New Jersey",1,3.6667
"New Jersey",2,3.7500
"New Jersey",4,3.5000
"New Mexico",1,4.0000
"New Mexico",2,2.3333
"New York",1,3.2727
"New York",2,3.3684
"New York",3,2.8667
"New York",4,2.4615
"North Carolina",1,2.6667
"North Carolina",2,4.0000
"North Carolina",3,2.5000
"North Carolina",4,2.6000
"North Dakota",2,5.0000
"North Dakota",4,2.0000
Ohio,1,3.4444
Ohio,2,3.5455
Ohio,3,3.1250
Ohio,4,1.8000
Oklahoma,1,3.5000
Oklahoma,2,4.0000
Oklahoma,3,3.0000
Oklahoma,4,3.0000
Oregon,2,1.7500
Oregon,3,5.0000
Oregon,4,1.5000
Pennsylvania,1,4.0000
Pennsylvania,2,4.4000
Pennsylvania,3,2.8889
Pennsylvania,4,3.5000
"South Carolina",1,2.6667
"South Carolina",2,2.0000
"South Carolina",3,1.0000
"South Carolina",4,2.0000
Tennessee,1,3.1429
Tennessee,2,2.7143
Tennessee,3,3.0000
Tennessee,4,1.3333
Texas,1,3.8966
Texas,2,2.9643
Texas,3,3.1739
Texas,4,2.0556
Utah,1,4.6667
Utah,3,1.8571
Vermont,1,2.0000
Virginia,1,3.4000
Virginia,2,2.8182
Virginia,3,3.6000
Virginia,4,2.3333
Washington,1,3.5000
Washington,2,2.4286
Washington,3,3.3333
Washington,4,2.8000
"West Virginia",1,4.0000
"West Virginia",2,4.0000
"West Virginia",4,2.0000
Wisconsin,1,3.3333
Wisconsin,4,1.8000
Wyoming,2,3.0000
