shipper_name,quarter_number,Average_rating
Abata,1,3.0000
Abata,2,3.0000
Abata,4,2.5000
Abatz,1,1.0000
Abatz,2,4.0000
Abatz,3,3.0000
Abatz,4,3.0000
Agimba,1,5.0000
Agimba,2,1.0000
Agivu,2,3.0000
Agivu,3,4.0000
Aibox,4,1.5000
Aimbo,2,1.0000
Aimbu,3,3.0000
Ainyx,1,1.0000
Ainyx,2,3.0000
Ainyx,4,3.0000
Aivee,1,5.0000
Aivee,3,4.0000
Aivee,4,1.5000
Avamba,2,3.5000
Avamm,1,5.0000
Avamm,2,3.0000
Avamm,4,1.5000
Avavee,1,3.0000
Avavee,4,3.0000
Avaveo,1,3.0000
Avaveo,2,2.0000
Avaveo,3,4.5000
Avaveo,4,2.0000
Babbleblab,2,2.0000
Babbleblab,3,2.0000
Babbleblab,4,1.5000
Babbleopia,1,5.0000
Babbleopia,2,5.0000
Babbleopia,3,2.5000
Babbleset,1,3.0000
Babblestorm,4,1.0000
Blognation,2,5.0000
Blognation,4,1.0000
Blogpad,4,1.0000
Blogspan,3,3.0000
Blogspan,4,3.5000
Blogtag,2,5.0000
Blogtags,1,4.0000
Blogtags,3,1.0000
Bluejam,1,2.7500
Bluezoom,3,1.0000
Brainbox,2,5.0000
Brainbox,3,1.3333
Brainlounge,2,4.0000
Brainlounge,3,5.0000
Brainlounge,4,4.0000
Brainsphere,1,4.0000
Brainsphere,2,5.0000
Brainsphere,3,3.5000
Brainsphere,4,1.0000
Brightbean,1,5.0000
Brightbean,3,4.0000
Brightbean,4,1.0000
Brightdog,1,2.3333
Brightdog,2,4.0000
Browseblab,3,4.0000
Browseblab,4,2.0000
Browsebug,1,4.5000
Browsecat,2,3.0000
Browsecat,3,3.0000
Browsedrive,3,4.0000
Browsedrive,4,1.0000
Browsetype,2,4.0000
Browsetype,3,5.0000
Browsetype,4,2.0000
Browsezoom,1,1.0000
Bubblemix,1,4.0000
Bubblemix,2,5.0000
Bubbletube,1,2.5000
Bubbletube,2,2.0000
Buzzbean,1,5.0000
Buzzbean,2,3.0000
Buzzbean,3,4.0000
Buzzdog,4,1.5000
Buzzshare,3,2.0000
Buzzshare,4,2.0000
Buzzster,1,4.0000
Buzzster,2,3.0000
Camido,1,3.0000
Camido,3,2.5000
Camimbo,1,4.0000
Camimbo,2,3.0000
Camimbo,3,3.0000
Centimia,1,5.0000
Centizu,1,1.0000
Centizu,2,3.0000
Chatterbridge,1,3.0000
Chatterbridge,2,5.0000
Chatterbridge,4,3.6667
Chatterpoint,1,4.0000
Cogibox,4,1.0000
Cogidoo,1,5.0000
Cogilith,1,3.6667
Cogilith,3,3.0000
Cogilith,4,2.0000
Dabfeed,1,1.0000
Dabfeed,2,4.0000
Dabjam,4,2.0000
Dablist,2,4.0000
Dabtype,3,2.6667
Dabtype,4,1.0000
DabZ,1,5.0000
Dazzlesphere,3,5.0000
Demimbu,2,2.0000
Demivee,3,2.0000
Demivee,4,2.0000
Demizz,1,3.0000
Demizz,2,5.0000
Demizz,3,4.0000
Demizz,4,3.0000
Devbug,1,4.5000
Devcast,3,3.0000
Devpoint,1,1.0000
Devpoint,3,4.0000
Devpulse,3,3.0000
Devshare,3,4.0000
Devshare,4,3.5000
Digitube,1,5.0000
Digitube,2,1.0000
Digitube,4,3.0000
Divanoodle,1,3.5000
Divanoodle,2,3.0000
Divanoodle,3,1.0000
Divape,2,5.0000
Divavu,1,3.0000
Divavu,2,1.5000
Divavu,3,3.0000
Divavu,4,1.0000
Dynabox,1,3.0000
Dynabox,2,2.0000
Dynabox,4,1.0000
Dynava,3,1.0000
Dynazzy,3,1.0000
Eabox,2,4.0000
Eabox,3,3.0000
Eadel,1,4.0000
Eadel,2,1.0000
Eadel,3,5.0000
Eamia,1,4.0000
Eamia,2,4.0000
Eamia,3,3.0000
Eayo,1,3.0000
Eazzy,4,4.0000
Edgeblab,1,2.0000
Edgeblab,2,5.0000
Edgeblab,4,3.0000
Edgeclub,1,3.0000
Edgeify,2,4.0000
Edgeify,3,3.0000
Edgeify,4,2.0000
Edgepulse,2,4.0000
Edgetag,1,2.0000
Edgewire,2,5.0000
Edgewire,3,2.0000
Eidel,2,5.0000
Eidel,3,5.0000
Eidel,4,5.0000
Eimbee,1,5.0000
Eimbee,2,5.0000
Eimbee,3,4.0000
Einti,1,4.0000
Eire,4,4.0000
Fadeo,2,2.3333
Fadeo,3,2.0000
Fadeo,4,1.0000
Fanoodle,2,3.5000
Fatz,3,1.0000
Feedbug,1,3.0000
Feedbug,2,3.0000
Feedbug,3,3.6667
Feedbug,4,3.0000
Feedfire,1,4.0000
Feedfire,2,1.0000
Feedfire,4,3.0000
Feedfish,2,2.0000
Feedfish,4,5.0000
Feedmix,1,2.0000
Feedmix,3,3.5000
Feednation,1,4.0000
Feednation,3,3.5000
Feednation,4,2.0000
Feedspan,3,4.0000
Fivebridge,3,3.3333
Fivechat,3,1.0000
Fiveclub,2,3.0000
Fivespan,1,3.0000
Fivespan,3,3.0000
Flashdog,2,3.6667
Flashpoint,1,5.0000
Flashpoint,3,2.0000
Flashset,4,1.0000
Flashspan,2,4.0000
Flipbug,3,1.0000
Flipbug,4,3.0000
Flipopia,1,3.0000
Flipopia,3,2.0000
Flipstorm,4,1.0000
Fliptune,4,1.0000
Gabcube,1,3.6667
Gabcube,2,4.0000
Gabcube,3,5.0000
Gabspot,1,2.5000
Gabspot,2,4.0000
Gabspot,3,1.0000
Gabtype,1,5.0000
Gabtype,2,3.0000
Gabvine,2,4.0000
Gabvine,3,3.0000
Gabvine,4,4.0000
Geba,1,4.0000
Geba,2,2.0000
Geba,4,3.0000
Gevee,1,5.0000
Gevee,3,2.0000
Gevee,4,1.0000
Gigabox,3,4.0000
Gigaclub,2,1.5000
Gigashots,3,3.0000
Gigashots,4,1.0000
Gigazoom,1,5.0000
Gigazoom,4,4.0000
Innojam,2,2.0000
Innojam,3,4.0000
Innojam,4,2.0000
Innotype,1,4.0000
Innotype,2,1.0000
Innotype,3,1.0000
Innotype,4,1.6667
InnoZ,1,4.0000
InnoZ,2,3.0000
InnoZ,3,3.0000
InnoZ,4,2.0000
Jabberbean,1,3.0000
Jabberbean,3,1.0000
Jabberbean,4,1.0000
Jabbercube,1,4.0000
Jabbercube,2,3.0000
Jabbercube,3,4.0000
Jabbersphere,1,3.0000
Jabbersphere,3,3.0000
Jabbersphere,4,3.0000
Jabberstorm,1,4.5000
Jabbertype,4,2.0000
Jaloo,1,4.0000
Jaloo,4,2.0000
Jamia,1,3.5000
Jamia,2,5.0000
Jamia,3,5.0000
Jamia,4,4.0000
Janyx,1,5.0000
Janyx,3,5.0000
Janyx,4,5.0000
Jatri,1,2.0000
Jatri,3,1.0000
Jaxbean,3,2.0000
Jaxbean,4,1.0000
Jaxnation,1,4.0000
Jaxnation,2,5.0000
Jaxspan,2,4.0000
Jaxspan,3,4.0000
Jaxworks,2,5.0000
Jaxworks,4,3.0000
Jayo,1,4.0000
Jayo,2,2.6667
Jayo,4,2.0000
Jazzy,1,4.0000
Jazzy,2,4.0000
Jazzy,4,2.0000
Jetpulse,2,5.0000
Jetpulse,3,4.0000
Jetwire,1,4.5000
Jetwire,2,2.0000
Jetwire,4,3.0000
JumpXS,1,4.5000
Kamba,1,1.0000
Kamba,2,3.0000
Kanoodle,1,4.5000
Kanoodle,4,1.0000
Kare,1,3.0000
Kare,2,2.0000
Kare,3,2.0000
Kare,4,3.0000
Katz,1,2.0000
Katz,3,4.0000
Katz,4,3.0000
Kaymbo,2,3.0000
Kayveo,2,4.5000
Kayveo,4,5.0000
Kazio,1,5.0000
Kazio,3,2.0000
Kazu,1,4.5000
Kazu,2,5.0000
Kazu,3,4.0000
Kazu,4,2.6667
Kwideo,1,4.0000
Kwideo,3,2.0000
Kwilith,2,5.0000
Kwilith,3,1.0000
Kwimbee,2,2.0000
Kwimbee,3,5.0000
Kwimbee,4,2.0000
Kwinu,1,4.0000
Kwinu,3,3.0000
Lajo,1,3.0000
Lajo,3,5.0000
Latz,1,5.0000
Latz,2,1.0000
Layo,1,2.5000
Layo,3,4.5000
Lazz,2,4.0000
Lazz,4,3.0000
Lazzy,1,2.0000
Lazzy,2,3.5000
Leenti,1,1.0000
Leenti,3,2.0000
